time_s,delta_w_mps,delta_q_rads,delta_e_rad,delta_w_dot,delta_q_dot,perturbation_az_mps2,delta_alpha_rad,delta_CL,delta_Cm,delta_Lift_N,delta_PitchMom_Nm,total_thrust_N,propulsion_model_status
2.72,0.1461722911727582,-0.04495095821110591,0.0,-2.181540165822841,0.028504935577593805,-0.275723823895,0.0034476483423800126,0.011325682111776217,0.0011068057155536899,6.595150340913455,0.1797495377530942,nan,MODEL_NOT_IDENTIFIED
2.74,0.10385338296425269,-0.04398076719716328,0.0,-2.0460090989673323,0.06754758415495105,-0.18132660518750654,0.0024495062693112614,0.007448204728015496,0.0026227756947926626,4.337224854659174,0.4259489376897444,nan,MODEL_NOT_IDENTIFIED
2.7600000000000002,0.06448579552240322,-0.04228796625070809,0.0,-1.8873804341743774,0.10076403843196446,-0.09446877322605597,0.0015209746269702307,0.0038804165702243766,0.003912522915730944,2.2596370279006455,0.6354088849272034,nan,MODEL_NOT_IDENTIFIED
2.7800000000000002,0.02847397847974739,-0.03998879620800518,0.0,-1.711355266975876,0.12820122138056106,-0.015923081763658958,0.0006715928437534174,0.0006540594125943162,0.004977869329987334,0.380870672104053,0.808425271469538,nan,MODEL_NOT_IDENTIFIED
2.8000000000000003,-0.0038884296714646258,-0.03719749131750446,0.0,-1.5233017953006145,0.15001038464999292,0.05378553838171804,-9.17132652415091e-05,-0.0022093045907924666,0.005824687821905792,-1.2865181788915194,0.945951876495216,nan,MODEL_NOT_IDENTIFIED
2.82,-0.03241128585694701,-0.03402434262179288,0.0,-1.328192075897804,0.1664320955794294,0.11436111479133154,-0.0007644589481534606,-0.004697518022846693,0.006462319275812943,-2.7354500403654463,1.049505695820505,nan,MODEL_NOT_IDENTIFIED
2.84,-0.05699951185508462,-0.030574061593001294,0.0,-1.130553665251854,0.17778127439168742,0.16571561446850525,-0.001344401671390619,-0.006806964824130268,0.0069029915917371305,-3.963819215247957,1.1210725878005776,nan,MODEL_NOT_IDENTIFIED
2.86,-0.07764383876675138,-0.026944440170195493,0.0,-0.9344353317077644,0.18443255997696653,0.20794642040732972,-0.0018313228168793994,-0.008541645116281513,0.007161251459805501,-4.973955047001663,1.1630149912893795,nan,MODEL_NOT_IDENTIFIED
2.88,-0.09441099833999575,-0.023225298164698743,0.0,-0.7433858528493963,0.18680624403763843,0.24131290664208838,-0.0022267963327237657,-0.009912212994470173,0.007253418203284671,-5.772061608696724,1.1779832276327389,nan,MODEL_NOT_IDENTIFIED
2.9,-0.10743361184853369,-0.019497704591374503,0.0,-0.5604447783185996,0.18535497466829137,0.2662126616810273,-0.002533950250309302,-0.010934999876823556,0.007197067497687431,-6.367648981648059,1.1688316546503954,nan,MODEL_NOT_IDENTIFIED
2.92,-0.11690000379726909,-0.01583345584424104,0.0,-0.3881439412572252,0.18055139243133983,0.28315785292103635,-0.0027572264283628038,-0.011631043644810327,0.007010551297343189,-6.7729679062323465,1.1385407008504602,nan,MODEL_NOT_IDENTIFIED
2.94,-0.12304414271065202,-0.012294790743141252,0.0,-0.22851843895150498,0.17287682530025414,0.29275216464316006,-0.002902143294412619,-0.01202514134413515,0.00671255887627759,-7.002458152418295,1.0901455767670334,nan,MODEL_NOT_IDENTIFIED
2.96,-0.12613588531104936,-0.008934320302446178,0.0,-0.08312577224530199,0.16281113402256597,0.2956686809553143,-0.0029750657420653526,-0.012144940700457177,0.00632172253824,-7.0722194928736215,1.0266722407405526,nan,MODEL_NOT_IDENTIFIED
2.98,-0.12647167411574345,-0.005795148570959228,0.0,0.046928169221349486,0.15082376694732608,0.2926290238853361,-0.002982985722703305,-0.012020083191892753,0.005856270288498918,-6.999512698523632,0.9510809914712595,nan,MODEL_NOT_IDENTIFIED
3.0,-0.124365812410295,-0.0029111600144212176,0.0,0.16095756616804247,0.13736605351510883,0.28438399688826865,-0.002933316455294134,-0.011681408958187943,0.005333726601125355,-6.802296542725438,0.8662178714663112,nan,MODEL_NOT_IDENTIFIED
3.02,-0.1201424151639082,-0.0003074486023553276,0.0,0.2586608188537081,0.1228647386803419,0.2716959263128165,-0.0028337025791012197,-0.011160231455571861,0.004770661369896426,-6.498805419618522,0.7747738956935556,nan,MODEL_NOT_IDENTIFIED
3.04,-0.11412811014251001,0.0019991360407863616,0.0,0.34008156884507335,0.10771673669767758,0.25532283871134626,-0.00269184800070452,-0.010487687521054492,0.004182486205353684,-6.107170874764086,0.6792519694343309,nan,MODEL_NOT_IDENTIFIED
3.06,-0.10664554058339377,0.003999349416969561,0.0,0.4055676977470049,0.09228506204958668,0.2360045609581429,-0.002515362646809773,-0.00969416641834739,0.003583296438564751,-5.645089128217519,0.5819412290820235,nan,MODEL_NOT_IDENTIFIED
